Filename,Chunk Size,Generated Question,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_1 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_10 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_3 Docs,dynamic_tinybert_q_a_256_dynamic_tinybert_q_a_256_5 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_1 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_10 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_3 Docs,gpt2-medium_q_a_256_gpt2-medium_q_a_256_5 Docs,roberta-base_q_a_256_roberta-base_q_a_256_1 Docs,roberta-base_q_a_256_roberta-base_q_a_256_10 Docs,roberta-base_q_a_256_roberta-base_q_a_256_3 Docs,roberta-base_q_a_256_roberta-base_q_a_256_5 Docs,t5-base_q_a_256_t5-base_q_a_256_1 Docs,t5-base_q_a_256_t5-base_q_a_256_10 Docs,t5-base_q_a_256_t5-base_q_a_256_3 Docs,t5-base_q_a_256_t5-base_q_a_256_5 Docs
aa24-109a_chunk_9.txt,256,,to interrupt availability to system and network resources,to interrupt availability to system and network resources,to interrupt availability to system and network resources,to interrupt availability to system and network resources,e.g,e.g,e.g,e.g,protections,protections,protections,protections,Akira threat actors encrypt data on target systems to interrupt availability to system and network resources,Akira threat actors encrypt data on target systems to interrupt availability to system and network resources,Akira threat actors encrypt data on target systems to interrupt availability to system and network resources,Akira threat actors encrypt data on target systems to interrupt availability to system and network resources
aa22-277a_chunk_13.txt,256,,to interact with the victim’s environment,extortion of the organization,The manipulation leads to use after free,Enhance monitoring of network and email traffic,"’s system and executing commands, the threat actors used /q and","enumerate accessible network shares in a domain.[21],[22",7.8 has been assigned,dhs.gov (UNCLASS) CISA encourages you,"executing commands, the threat",information on network shares,The manipulation leads to use,Economic Aggression Threatens,"turn the echo off, carry out the command specified by the victim’s system","allow an attacker to pass arbitrary pointers to a memcmp call, enabling them to read memory contents or enact a denial of service",User interaction is not needed for exploitation,"allow an attacker to pass arbitrary pointers to a memcmp call, enabling them to read memory contents or enact a denial of service"
aa20-245a_chunk_9.txt,256,,point of compromise,point of compromise,point of compromise,point of compromise,.e,.e,.e,.e,techniques,techniques,techniques,techniques,external-facing devices have not been previously compromised,external-facing devices have not been previously compromised,external-facing devices have not been previously compromised,external-facing devices have not been previously compromised
aa23-144a_chunk_6.txt,256,,Clicking the OK box,Clicking the OK box,Clicking the OK box,Clicking the OK box,ntds,ntds,ntds,ntds,"occurs, defenders should follow guidance for removing","occurs, defenders should follow guidance for removing","occurs, defenders should follow guidance for removing","occurs, defenders should follow guidance for removing",TRUE,TRUE,TRUE,TRUE
aa23-319a_chunk_9.txt,256,,to improve your organization’s cybersecurity posture,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,to access hosted resources without significant evidence or telemetry being generated,set of practices and protections that CISA and,"6, 2021","6, 2021","6, 2021",protections,resources,resources,resources,Account Discovery: Domain Account T1087.002 Rhysida actors used the command net user [username] /domain to identify domain administrators,Account Discovery: Domain Account T1087.002 Rhysida actors used the command net user [username] /domain to identify domain administrators,Account Discovery: Domain Account T1087.002 Rhysida actors used the command net user [username] /domain to identify domain administrators,Account Discovery: Domain Account T1087.002 Rhysida actors used the command net user [username] /domain to identify domain administrators
icsa-24-102-08_chunk_0.txt,256,,The vulnerability affects all RSA padding modes,The vulnerability affects all RSA padding modes,The vulnerability affects all RSA padding modes,The vulnerability affects all RSA padding modes,prior to V3.1.2 3.2 Vulnerability Overview 3,prior to V3.1.2 3.2 Vulnerability Overview 3,prior to V3.1.2 3.2 Vulnerability Overview 3,prior to V3.1.2 3.2 Vulnerability Overview 3,RSA is commonly used by a client to send,RSA is commonly used by a client to send,RSA is commonly used by a client to send,RSA is commonly used by a client to send,"Inadequate Encryption Strength, Double Free, Integer Overflow or Wraparound, External Control of File Name or Path, Path Traversal","Inadequate Encryption Strength, Double Free, Integer Overflow or Wraparound, External Control of File Name or Path, Path Traversal","Inadequate Encryption Strength, Double Free, Integer Overflow or Wraparound, External Control of File Name or Path, Path Traversal","Inadequate Encryption Strength, Double Free, Integer Overflow or Wraparound, External Control of File Name or Path, Path Traversal"
home-network-security_chunk_19.txt,256,,Avoiding Social Engineering and Phishing Attacks,Avoiding Social Engineering and Phishing Attacks,Avoiding Social Engineering and Phishing Attacks,Avoiding Social Engineering and Phishing Attacks,phishing attack. See Avoiding Social Engineering and Phishing,phishing attack. See Avoiding Social Engineering and Phishing,phishing attack. See Avoiding Social Engineering and Phishing,phishing attack. See Avoiding Social Engineering and Phishing,human,human,human,human,,,,
aa23-059a_chunk_25.txt,256,,"people, processes, and technologies","people, processes, and technologies","people, processes, and technologies","people, processes, and technologies",#NAME?,#NAME?,#NAME?,#NAME?,locations,locations,locations,locations,TRUE,TRUE,TRUE,TRUE
aa23-187a_chunk_3.txt,256,,Truebot’s enumeration of running processes and tools,extortion of the organization,Truebot’s enumeration of running processes and tools,Truebot’s enumeration of running processes and tools,’s main goal is identifying the presence of security debugger tools. However,"enumerate accessible network shares in a domain.[21],[22",’s main goal is identifying the presence of security debugger tools. However,’s main goal is identifying the presence of security debugger tools. However,"enumeration of running processes and tools, the",information on network shares,"enumeration of running processes and tools, the","enumeration of running processes and tools, the",Truebot’s main goal is identifying the presence of security debugger tools,HKLMSoftwareNFCIPA and HKLMSoftwareNFC(Default),Truebot’s main goal is identifying the presence of security debugger tools,Truebot’s main goal is identifying the presence of security debugger tools
aa23-187a_chunk_5.txt,256,,persistence and data exfiltration purposes,persistence and data exfiltration purposes,persistence and data exfiltration purposes,persistence and data exfiltration purposes,https[:]//snowboardspecs,https[:]//snowboardspecs,https[:]//snowboardspecs,https[:]//snowboardspecs,threat,threat,threat,threat,,,,
ar23-074a_chunk_13.txt,256,,drops and executes a reverse shell utility,drops and executes a reverse shell utility,drops and executes a reverse shell utility,drops and executes a reverse shell utility,HTTP Session,HTTP Session,HTTP Session,HTTP Session,XE ReverseShell collects the path to the,XE ReverseShell collects the path to the,XE ReverseShell collects the path to the,XE ReverseShell collects the path to the,upload or download files to any directory,upload or download files to any directory,upload or download files to any directory,upload or download files to any directory
aa23-250a_chunk_10.txt,256,,to monitor processes and create crash dump files,to monitor processes and create crash dump files,to monitor processes and create crash dump files,to monitor processes and create crash dump files,Ngrok’s ability,Ngrok’s ability,Ngrok’s ability,Ngrok’s ability,tool is used to detect callbacks,tool is used to detect callbacks,tool is used to detect callbacks,tool is used to detect callbacks,to conduct reconnaissance and examine spawned processes,to conduct reconnaissance and examine spawned processes,to conduct reconnaissance and examine spawned processes,to conduct reconnaissance and examine spawned processes
aa23-075a_chunk_9.txt,256,,will only decrypt the main component,will only decrypt the main component,will only decrypt the main component,will only decrypt the main component,LockBit,LockBit,LockBit,LockBit,will,will,will,will,,,,
aa24-038a_chunk_31.txt,256,,reviewing and restricting public endpoints,reviewing and restricting public endpoints,reviewing and restricting public endpoints,reviewing and restricting public endpoints,.g,.g,.g,.g,resources,resources,resources,resources,"baselines for Microsoft Defender for Office 365, Azure Active Directory (now known as Microsoft Entra ID), Exchange Online, OneDrive for Business, Power BI, Power Platform, SharePoint Online, and Teams","baselines for Microsoft Defender for Office 365, Azure Active Directory (now known as Microsoft Entra ID), Exchange Online, OneDrive for Business, Power BI, Power Platform, SharePoint Online, and Teams","baselines for Microsoft Defender for Office 365, Azure Active Directory (now known as Microsoft Entra ID), Exchange Online, OneDrive for Business, Power BI, Power Platform, SharePoint Online, and Teams","baselines for Microsoft Defender for Office 365, Azure Active Directory (now known as Microsoft Entra ID), Exchange Online, OneDrive for Business, Power BI, Power Platform, SharePoint Online, and Teams"
aa23-215a_chunk_3.txt,256,,zero-day,zero-day,zero-day,zero-day,2022-26134,2022-26134,2022-26134,2022-26134,"vulnerability, which was likely","vulnerability, which was likely","vulnerability, which was likely","vulnerability, which was likely",a week,a week,a week,a week
icsa-23-222-07_chunk_4.txt,256,,V2.9.7,V2.9.7,V2.9.7,V2.9.7,PN,PN,PN,PN,RAIL (6AG,RAIL (6AG,RAIL (6AG,RAIL (6AG,S7-PLCSIM,V3.0.3 SIMATIC S7-1500 CPU 1514SP F-2 PN (6ES7514-2N03-0AB0),S7-PLCSIM,S7-PLCSIM
